idcliente,municipio
C1327,CHAPELTIQUE
C1328,CHAPELTIQUE
C1329,CHAPELTIQUE
C1330,CHAPELTIQUE
C1331,CHAPELTIQUE
C1332,CHAPELTIQUE
C1333,CHAPELTIQUE
C1334,CHAPELTIQUE
P18,CHAPELTIQUE
C1335,CHAPELTIQUE
C1336,CHAPELTIQUE
C1337,CHAPELTIQUE
C1338,CHAPELTIQUE
C1339,CHAPELTIQUE
C1340,CHAPELTIQUE
C1341,CHAPELTIQUE
C1342,CHAPELTIQUE
C1343,CHAPELTIQUE
C1344,CIUDAD BARRIOS
C1345,CHAPELTIQUE
C1346,CHAPELTIQUE
C1347,CAROLINA
C1348,GUATAJIAGUA
C1349,CHAPELTIQUE
C1350,CHAPELTIQUE
C1351,CHAPELTIQUE
C1352,CHAPELTIQUE
C1353,CHAPELTIQUE
C1354,CHAPELTIQUE
C1355,GUATAJIAGUA
C1356,CHAPELTIQUE
C1357,CHAPELTIQUE
C1358,CHAPELTIQUE
C1359,SESORI
C1360,CHAPELTIQUE
C1361,CHAPELTIQUE
C1362,CHAPELTIQUE
C1363,CHAPELTIQUE
C1364,CHAPELTIQUE
C1365,503013013
C1366,CHAPELTIQUE
C1367,GUATAJIAGUA
C1368,CHAPELTIQUE
C1369,SAN MIGUEL
C1370,CHAPELTIQUE
C1371,CHAPELTIQUE
C1372,CHAPELTIQUE
C1373,CHAPELTIQUE
C1374,JOATECA
C1375,CHAPELTIQUE
C1376,CHAPELTIQUE
C1377,CHAPELTIQUE
C1378,CHAPELTIQUE
C1379,CHAPELTIQUE
C1380,CHAPELTIQUE
C1381,CHAPELTIQUE
C1382,CHAPELTIQUE
C1383,CHAPELTIQUE
C1384,CHAPELTIQUE
C1385,CHAPELTIQUE
C1386,CHAPELTIQUE
C1387,SESORI
C1388,CHAPELTIQUE
C1389,CHAPELTIQUE
C1390,CHAPELTIQUE
C1391,CHAPELTIQUE
C1392,CHAPELTIQUE
C1393,CHAPELTIQUE
C1394,CHAPELTIQUE
C1395,CHAPELTIQUE
C1396,CHAPELTIQUE
C1397,CHAPELTIQUE
C1398,CHAPELTIQUE
C1399,CHAPELTIQUE
C1400,CHAPELTIQUE
C1401,CHAPELTIQUE
C1402,APASTEPEQUE
C1403,CHAPELTIQUE
C1404,CHAPELTIQUE
C1406,CHAPELTIQUE
C1407,CHAPELTIQUE
C1408,CHAPELTIQUE
